,title,description,labels,category,date,year,is_annual,start_time,duration,venue_name,scope,venue_type,est_capacity,distance,longitude,latitude,rank,local_rank,aviation_rank,impact_linear,impact_exp
11888,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-19,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
11889,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-20,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
11890,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-21,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
11891,2017 Schizencephaly bundle We Are R.A.R.E,,"""career,education,expo""",expos,2017-10-22,2017,0,pm,244800,Holiday Inn Hotel & Suites Across From Universal Orlando,locality,indoor,604.7300431959874,0.4003526780971852,-81.457297,28.47653,42,62.0,0.0,104.90750355316605,8228082621.507548
12708,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-18,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
12709,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-19,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
12710,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-20,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
12711,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-21,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
12712,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-22,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
12713,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-23,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
12714,All-New Holidays At Universal Orlando Resort,"""This year Universal Orlando Resort takes the Christmas season to new heights with an all-new lineup of festivities. Experience Christmas in The Wizarding World of Harry Potter™ as Hogsmeade™ and Diagon Alley™ are transformed with wondrous spirit. Watch the live retelling of Dr. Seuss's classic holiday tale starring The Grinch™ as the Grinchmas Who-liday Spectacular returns. Merry and Mayhem combine as the Minions join Santa Claus in the all-new Universal's Holiday Parade featuring Macy's. Make it a Christmas to remember at Universal Orlando Resort.""","""festival""",festivals,2017-11-24,2017,0,am,4319999,Universal Orlando Resort,locality,indoor,11026.77341378191,0.9856442108055162,-81.46781899999999,28.474321000000003,70,93.0,,71.01954156743092,1632550092159307.0
